# Temperature(K) ,"Lattice parameter, a (_) - quenched"
575.13807,3.57803
577.9875,3.57809
580.75042,3.5782
583.7898,3.57841
586.9995,3.57858
590.00807,3.57873
592.61318,3.57892
595.62488,3.57906
598.42803,3.57922
601.35994,3.57944
604.44517,3.57957
607.52901,3.57976
610.45852,3.57995
613.34629,3.58009
616.43777,3.58028
619.27408,3.58045
622.09257,3.5806
625.03316,3.58081
628.15048,3.58095
630.89378,3.58112
633.64541,3.58132
636.6812,3.58146
639.72848,3.58166
642.81658,3.58185
645.50412,3.58197
648.50233,3.58215
651.45715,3.58232
654.59776,3.58246
657.20578,3.58265
659.98268,3.58279
662.94455,3.58299
666.13782,3.58321
669.16688,3.58334
672.16476,3.58354
675.00335,3.58373
677.96516,3.58387
681.0506,3.58407
683.92376,3.58422
687.00413,3.5844
689.85958,3.58461
692.94502,3.58474
695.91736,3.58494
698.84447,3.58512
701.67359,3.58525
704.58937,3.58543
707.51502,3.58561
710.21507,3.58574
713.20999,3.58595
716.30942,3.58611
719.11878,3.58629
722.15029,3.5865
725.33978,3.58663
728.0077,3.58682
730.88212,3.58703
733.8518,3.58717
736.58807,3.58736
739.73855,3.58755
742.68994,3.5877
745.6176,3.5879
748.72136,3.58807
751.50187,3.58824
754.43602,3.58845
757.5145,3.5886
760.28701,3.58879
763.21624,3.58899
766.10028,3.58911
769.03035,3.58932
772.08259,3.5895
775.19097,3.58966
777.90769,3.58985
781.10317,3.59001
783.97336,3.5902
786.93747,3.5904
789.70501,3.59053
792.74931,3.59073
795.88286,3.59093
798.54925,3.59107
801.71116,3.59129
804.81272,3.59145
807.81523,3.59165
810.98067,3.59187
814.0207,3.59201
816.97513,3.59221
819.98372,3.59239
823.01649,3.59256
825.89011,3.59275
828.51441,3.59287
831.36939,3.59303
834.32044,3.59323
837.3736,3.59337
840.12785,3.59355
843.19347,3.59374
846.32429,3.59387
849.29692,3.59406
852.12688,3.59422
854.96857,3.59438
858.02845,3.59457
861.04457,3.5947
863.65293,3.59487
866.89263,3.59509
869.61733,3.59522
873.22821,3.59542
875.70982,3.59559
879.07513,3.59575
881.68346,3.59595
884.05464,3.59611
886.99737,3.59628
888.46363,3.59648
893.43897,3.59665
896.34056,3.59686
898.94454,3.5971
901.49708,3.59724
904.92437,3.59744
907.36633,3.59764
910.54165,3.59782
913.76709,3.59805
916.51131,3.59825
919.55091,3.59844
921.62249,3.59867
924.78087,3.59884
928.03948,3.59906
930.76249,3.59928
933.06617,3.59947
936.31352,3.59966
940.10025,3.59991
942.65542,3.60011
945.43028,3.60036
948.52314,3.60056
952.03328,3.60075
954.92371,3.60099
957.51866,3.60117
960.41682,3.60137
962.71246,3.60159
966.78863,3.60177
968.74228,3.60198
972.48795,3.60219
975.27518,3.60239
978.41111,3.60263
980.75024,3.60279
983.86608,3.603
987.51154,3.60324
989.96003,3.60338
992.77885,3.60361
995.59242,3.60383
998.49874,3.60401
1001.71669,3.60423
1004.31796,3.6044
1007.08139,3.60459
1009.93558,3.6048
1012.85355,3.60498
1015.75794,3.60519
1018.78351,3.60542
1021.81755,3.60559
1024.56143,3.60579
1027.31244,3.60602
1030.10679,3.60619
1032.95885,3.60641
1035.98248,3.60665
1038.82354,3.60684
1041.82517,3.60708
1044.62328,3.60728
1047.4904,3.60749
1050.51156,3.60777
1053.52104,3.60796
1056.30339,3.60818
1059.11248,3.60842
1061.87351,3.60858
1064.88565,3.60882
1067.94099,3.60904
1070.74276,3.60922
