Aged 1st H,,,,,,,
T (K),V (mm3),,,,,,
573.187598,129.268107,,,,,,
573.326147,129.269335,,,,,,
573.515723,129.270256,,,,,,
573.689093,129.270666,,,,,,
573.901343,129.273225,,,,,,
574.103827,129.274760,,,,,,
574.215552,129.277115,,,,,,
574.345129,129.277934,,,,,,
574.446417,129.278445,,,,,,
574.908545,129.279059,,,,,,
575.001685,129.282540,,,,,,
575.092352,129.282847,,,,,,
575.327948,129.284383,,,,,,
575.485663,129.285304,,,,,,
575.562537,129.287454,,,,,,
575.866003,129.288170,,,,,,
575.853888,129.289603,,,,,,
576.107886,129.290832,,,,,,
576.190405,129.293186,,,,,,
576.389410,129.293084,,,,,,
576.659491,129.294108,,,,,,
576.741980,129.295643,,,,,,
576.837378,129.297691,,,,,,
577.185004,129.299329,,,,,,
577.181799,129.300762,,,,,,
577.625586,129.301069,,,,,,
577.669257,129.302093,,,,,,
577.686194,129.302912,,,,,,
577.897955,129.303219,,,,,,
578.238959,129.304243,,,,,,
578.234045,129.305778,,,,,,
578.497443,129.308236,,,,,,
578.512762,129.309055,,,,,,
578.850439,129.310181,,,,,,
578.902136,129.311000,,,,,,
579.158881,129.311614,,,,,,
579.114600,129.313355,,,,,,
579.376990,129.316119,,,,,,
579.711981,129.316221,,,,,,
579.754767,129.317040,,,,,,
580.141394,129.318167,,,,,,
580.007391,129.319088,,,,,,
580.237463,129.321238,,,,,,
580.356879,129.323081,,,,,,
580.635382,129.322672,,,,,,
580.821631,129.324105,,,,,,
580.874091,129.325436,,,,,,
581.080603,129.327074,,,,,,
581.267004,129.328508,,,,,,
581.433905,129.330248,,,,,,
581.658972,129.331887,,,,,,
581.808936,129.331784,,,,,,
582.085516,129.333832,,,,,,
582.134619,129.334651,,,,,,
582.196753,129.335675,,,,,,
582.403113,129.337621,,,,,,
582.528876,129.339054,,,,,,
582.751288,129.340590,,,,,,
582.835852,129.340795,,,,,,
583.138098,129.342433,,,,,,
583.370978,129.341717,,,,,,
583.455481,129.343765,,,,,,
583.524786,129.345813,,,,,,
583.782538,129.346632,,,,,,
583.983862,129.347656,,,,,,
584.130469,129.348987,,,,,,
584.301978,129.349704,,,,,,
584.327765,129.350830,,,,,,
584.602332,129.352776,,,,,,
584.726263,129.353902,,,,,,
584.942023,129.355029,,,,,,
585.199622,129.356155,,,,,,
585.259985,129.358101,,,,,,
585.417670,129.359535,,,,,,
585.539221,129.359637,,,,,,
585.766119,129.361173,,,,,,
585.921423,129.363016,,,,,,
586.341284,129.363528,,,,,,
586.196539,129.364348,,,,,,
586.543188,129.366191,,,,,,
586.514288,129.367522,,,,,,
586.734717,129.368444,,,,,,
586.909125,129.369673,,,,,,
587.020056,129.372029,,,,,,
587.307928,129.371926,,,,,,
587.640631,129.373053,,,,,,
587.778082,129.374384,,,,,,
587.746039,129.375818,,,,,,
587.995215,129.376228,,,,,,
587.891516,129.378174,,,,,,
588.366339,129.379300,,,,,,
588.498907,129.380017,,,,,,
588.572058,129.381246,,,,,,
588.781714,129.382680,,,,,,
588.851691,129.384114,,,,,,
588.997870,129.384626,,,,,,
589.296576,129.385240,,,,,,
589.454779,129.388006,,,,,,
589.639502,129.388518,,,,,,
589.698889,129.388928,,,,,,
589.858679,129.391079,,,,,,
590.019171,129.392410,,,,,,
590.256049,129.393229,,,,,,
590.299384,129.395688,,,,,,
590.620428,129.395585,,,,,,
590.763342,129.397326,,,,,,
590.911749,129.398453,,,,,,
591.185339,129.400399,,,,,,
591.245490,129.400809,,,,,,
591.340216,129.401014,,,,,,
591.596899,129.403677,,,,,,
591.751715,129.405111,,,,,,
591.940192,129.405009,,,,,,
592.025183,129.406852,,,,,,
592.053168,129.408491,,,,,,
592.297797,129.409516,,,,,,
592.560004,129.410642,,,,,,
592.855017,129.410847,,,,,,
593.049719,129.412691,,,,,,
593.030585,129.413101,,,,,,
593.282233,129.414330,,,,,,
593.424109,129.416174,,,,,,
593.509833,129.417506,,,,,,
593.795081,129.417915,,,,,,
593.990515,129.420169,,,,,,
594.056250,129.420476,,,,,,
594.244513,129.421706,,,,,,
594.432776,129.423652,,,,,,
594.619330,129.423857,,,,,,
594.737158,129.424779,,,,,,
595.034125,129.427237,,,,,,
595.136633,129.428057,,,,,,
595.335272,129.429491,,,,,,
595.496954,129.430720,,,,,,
595.666632,129.431335,,,,,,
595.616248,129.431950,,,,,,
595.988470,129.434306,,,,,,
596.141302,129.435023,,,,,,
596.250861,129.435126,,,,,,
596.502905,129.437174,,,,,,
596.687628,129.437687,,,,,,
596.732733,129.438711,,,,,,
596.991858,129.439531,,,,,,
597.155737,129.441375,,,,,,
597.199774,129.442195,,,,,,
597.510046,129.443117,,,,,,
597.597266,129.444346,,,,,,
597.923438,129.445883,,,,,,
598.030585,129.446907,,,,,,
598.137732,129.447522,,,,,,
598.477423,129.448854,,,,,,
598.352026,129.449981,,,,,,
598.450385,129.451415,,,,,,
598.854803,129.454489,,,,,,
599.021002,129.457358,,,,,,
599.315039,129.457460,,,,,,
599.345465,129.458485,,,,,,
599.494025,129.458997,,,,,,
599.757666,129.462071,,,,,,
599.812750,129.462378,,,,,,
600.252905,129.462993,,,,,,
600.311987,129.465145,,,,,,
600.445410,129.465042,,,,,,
600.520392,129.466169,,,,,,
600.798346,129.467809,,,,,,
601.049841,129.468936,,,,,,
601.063452,129.470575,,,,,,
601.351538,129.470780,,,,,,
601.322882,129.472932,,,,,,
601.480933,129.473854,,,,,,
601.858344,129.475186,,,,,,
601.902319,129.476416,,,,,,
602.122504,129.477236,,,,,,
602.322791,129.478363,,,,,,
602.416144,129.480515,,,,,,
602.712836,129.480310,,,,,,
602.849280,129.482564,,,,,,
603.046332,129.484204,,,,,,
603.185858,129.485741,,,,,,
603.247351,129.485741,,,,,,
603.484137,129.487483,,,,,,
603.608588,129.488610,,,,,,
603.789465,129.490045,,,,,,
603.803076,129.490147,,,,,,
604.038336,129.492094,,,,,,
604.302191,129.494451,,,,,,
604.432867,129.494451,,,,,,
604.794714,129.495579,,,,,,
604.819342,129.497116,,,,,,
604.927863,129.497013,,,,,,
605.095038,129.498550,,,,,,
605.322241,129.498960,,,,,,
605.508612,129.500805,,,,,,
605.425879,129.502342,,,,,,
605.877417,129.502752,,,,,,
605.953864,129.505314,,,,,,
606.169043,129.504597,,,,,,
606.297919,129.506647,,,,,,
606.537665,129.506749,,,,,,
606.598303,129.509311,,,,,,
606.775763,129.510848,,,,,,
606.941382,129.512181,,,,,,
607.199255,129.513206,,,,,,
607.390265,129.513821,,,,,,
607.291541,129.516075,,,,,,
607.528052,129.515768,,,,,,
607.773993,129.518125,,,,,,
607.996649,129.518638,,,,,,
607.957831,129.519765,,,,,,
608.354803,129.520175,,,,,,
608.492529,129.521712,,,,,,
608.727026,129.522840,,,,,,
608.684271,129.524377,,,,,,
608.809882,129.524480,,,,,,
609.231482,129.527247,,,,,,
609.220221,129.527657,,,,,,
609.586890,129.529399,,,,,,
609.388159,129.530219,,,,,,
609.835730,129.531449,,,,,,
609.968542,129.531962,,,,,,
610.128271,129.532987,,,,,,
610.268988,129.533807,,,,,,
610.281744,129.535959,,,,,,
610.441443,129.536472,,,,,,
610.591742,129.537292,,,,,,
610.842078,129.540059,,,,,,
611.040717,129.541289,,,,,,
611.185370,129.543135,,,,,,
611.494421,129.544467,,,,,,
611.630255,129.544467,,,,,,
611.866949,129.545800,,,,,,
611.961554,129.547645,,,,,,
612.118018,129.548157,,,,,,
612.148230,129.549387,,,,,,
612.282355,129.552053,,,,,,
612.607092,129.551540,,,,,,
612.737494,129.553180,,,,,,
612.973242,129.553590,,,,,,
612.961340,129.555435,,,,,,
613.285986,129.556563,,,,,,
613.287634,129.558101,,,,,,
613.685309,129.558408,,,,,,
613.815405,129.560561,,,,,,
614.051031,129.562201,,,,,,
614.082037,129.562611,,,,,,
614.395514,129.563329,,,,,,
614.423163,129.564969,,,,,,
614.548651,129.564867,,,,,,
614.731146,129.566097,,,,,,
614.870764,129.567327,,,,,,
614.954810,129.569582,,,,,,
615.157904,129.569377,,,,,,
615.535437,129.571530,,,,,,
615.668555,129.571735,,,,,,
615.826392,129.573786,,,,,,
615.878027,129.573273,,,,,,
616.049963,129.576349,,,,,,
616.332190,129.577169,,,,,,
616.469397,129.578399,,,,,,
616.668372,129.580039,,,,,,
616.680273,129.580244,,,,,,
616.842810,129.582397,,,,,,
617.232550,129.583730,,,,,,
617.277899,129.584038,,,,,,
617.474249,129.585166,,,,,,
617.559912,129.585986,,,,,,
617.724707,129.587421,,,,,,
617.988409,129.589267,,,,,,
617.975134,129.589267,,,,,,
618.140723,129.590394,,,,,,
618.303778,129.592137,,,,,,
618.745032,129.594085,,,,,,
618.689581,129.593880,,,,,,
619.059271,129.596341,,,,,,
619.026038,129.596956,,,,,,
619.064032,129.598289,,,,,,
619.470251,129.598699,,,,,,
619.684760,129.600135,,,,,,
619.710913,129.600443,,,,,,
619.868536,129.603211,,,,,,
620.153326,129.604031,,,,,,
620.306128,129.605467,,,,,,
620.445380,129.606800,,,,,,
620.622656,129.607928,,,,,,
620.813391,129.607312,,,,,,
620.905951,129.609158,,,,,,
621.192328,129.610183,,,,,,
621.265997,129.612029,,,,,,
621.403571,129.614080,,,,,,
621.670142,129.613875,,,,,,
621.853522,129.616849,,,,,,
621.855200,129.617771,,,,,,
622.109045,129.616951,,,,,,
622.294928,129.618592,,,,,,
622.366888,129.620130,,,,,,
622.704535,129.620848,,,,,,
622.698065,129.621668,,,,,,
622.956641,129.623924,,,,,,
623.100562,129.626283,,,,,,
623.404089,129.626078,,,,,,
623.435583,129.628231,,,,,,
623.450690,129.628539,,,,,,
623.702765,129.628949,,,,,,
623.765997,129.630590,,,,,,
624.142157,129.631410,,,,,,
624.334937,129.632743,,,,,,
624.415533,129.634384,,,,,,
624.588538,129.635102,,,,,,
624.793860,129.636948,,,,,,
624.955023,129.638076,,,,,,
625.040411,129.638897,,,,,,
625.450171,129.639102,,,,,,
625.481848,129.640537,,,,,,
625.582922,129.642691,,,,,,
625.796820,129.643717,,,,,,
625.938910,129.644537,,,,,,
626.049506,129.646486,,,,,,
626.193213,129.647101,,,,,,
626.415808,129.647306,,,,,,
626.563422,129.649152,,,,,,
626.613959,129.649870,,,,,,
626.893408,129.652024,,,,,,
627.207434,129.652024,,,,,,
627.153815,129.653870,,,,,,
627.402380,129.654896,,,,,,
627.556982,129.656742,,,,,,
627.861609,129.657152,,,,,,
627.944373,129.658383,,,,,,
628.177161,129.659101,,,,,,
628.264685,129.660844,,,,,,
628.538367,129.662178,,,,,,
628.638525,129.663409,,,,,,
628.815131,129.664332,,,,,,
628.868750,129.665050,,,,,,
629.196753,129.666383,,,,,,
629.151038,129.667614,,,,,,
629.371954,129.667819,,,,,,
629.546027,129.668742,,,,,,
629.769171,129.670178,,,,,,
629.880408,129.672024,,,,,,
630.094794,129.673050,,,,,,
630.354041,129.675307,,,,,,
630.384833,129.676127,,,,,,
630.748785,129.677563,,,,,,
630.745703,129.678692,,,,,,
630.847418,129.680230,,,,,,
631.123083,129.682077,,,,,,
631.271277,129.683000,,,,,,
631.511603,129.682692,,,,,,
631.799811,129.685667,,,,,,
631.707709,129.686282,,,,,,
631.964453,129.687206,,,,,,
632.110907,129.688026,,,,,,
632.400732,129.691309,,,,,,
632.421973,129.691104,,,,,,
632.519720,129.692130,,,,,,
632.670050,129.693258,,,,,,
632.985022,129.693258,,,,,,
632.978003,129.695002,,,,,,
633.380225,129.696130,,,,,,
633.454932,129.697361,,,,,,
633.552649,129.699310,,,,,,
633.824072,129.699003,,,,,,
634.039771,129.700234,,,,,,
634.031165,129.702388,,,,,,
634.283789,129.704132,,,,,,
634.468726,129.704542,,,,,,
634.548163,129.705055,,,,,,
634.637122,129.706184,,,,,,
634.974493,129.707415,,,,,,
635.152350,129.709467,,,,,,
635.261725,129.710903,,,,,,
635.573828,129.711929,,,,,,
635.562903,129.712852,,,,,,
635.736029,129.713365,,,,,,
636.109564,129.714494,,,,,,
636.150366,129.716648,,,,,,
636.266669,129.716648,,,,,,
636.489996,129.718290,,,,,,
636.721198,129.720136,,,,,,
636.737677,129.721060,,,,,,
636.862646,129.721778,,,,,,
637.115027,129.723727,,,,,,
637.283270,129.724651,,,,,,
637.375189,129.725779,,,,,,
637.534735,129.726805,,,,,,
637.828680,129.727729,,,,,,
637.902472,129.729370,,,,,,
638.217566,129.729576,,,,,,
638.121771,129.732448,,,,,,
638.619818,129.732654,,,,,,
638.670111,129.733475,,,,,,
638.696906,129.734398,,,,,,
639.001624,129.735834,,,,,,
639.056647,129.737066,,,,,,
639.206580,129.739015,,,,,,
639.398993,129.740144,,,,,,
639.496436,129.740862,,,,,,
639.856055,129.741888,,,,,,
639.881171,129.743325,,,,,,
640.044501,129.744967,,,,,,
640.213385,129.745582,,,,,,
640.572058,129.746916,,,,,,
640.546942,129.746711,,,,,,
640.778540,129.748353,,,,,,
