Aged 2nd H,,,,,,,
T (K),V (mm3),,,,,,
573.126959,129.454387,,,,,,
573.264624,129.453874,,,,,,
573.326361,129.454899,,,,,,
573.564612,129.455923,,,,,,
573.708075,129.456948,,,,,,
573.970404,129.458485,,,,,,
574.254553,129.459407,,,,,,
574.182623,129.460227,,,,,,
574.462775,129.461251,,,,,,
574.631171,129.463096,,,,,,
574.869238,129.464018,,,,,,
574.981787,129.465145,,,,,,
575.166235,129.466272,,,,,,
575.244818,129.466374,,,,,,
575.429175,129.468936,,,,,,
575.631445,129.469448,,,,,,
575.929175,129.470166,,,,,,
575.831427,129.472010,,,,,,
576.137183,129.472420,,,,,,
576.163031,129.473444,,,,,,
576.520453,129.473342,,,,,,
576.545050,129.476109,,,,,,
576.835944,129.477646,,,,,,
576.899298,129.478363,,,,,,
577.013037,129.478773,,,,,,
577.191016,129.480822,,,,,,
577.554449,129.481130,,,,,,
577.489386,129.482052,,,,,,
577.493414,129.482974,,,,,,
577.817969,129.484511,,,,,,
578.186713,129.484409,,,,,,
578.548621,129.486458,,,,,,
578.385535,129.487585,,,,,,
578.555731,129.489532,,,,,,
578.953253,129.490147,,,,,,
578.962164,129.490865,,,,,,
579.130133,129.491377,,,,,,
579.327917,129.493222,,,,,,
579.348883,129.493836,,,,,,
579.608130,129.495374,,,,,,
579.780066,129.497423,,,,,,
579.698553,129.498243,,,,,,
580.055273,129.499165,,,,,,
580.212042,129.499165,,,,,,
580.289526,129.501215,,,,,,
580.562842,129.501420,,,,,,
580.675909,129.501830,,,,,,
580.951941,129.504289,,,,,,
581.024420,129.504904,,,,,,
581.311469,129.507466,,,,,,
581.493933,129.507671,,,,,,
581.510840,129.509414,,,,,,
581.928595,129.509926,,,,,,
581.800513,129.510848,,,,,,
582.079413,129.512693,,,,,,
582.189673,129.513206,,,,,,
582.396002,129.514845,,,,,,
582.384039,129.516485,,,,,,
582.844275,129.517408,,,,,,
582.886969,129.518228,,,,,,
582.987036,129.518433,,,,,,
583.329291,129.520687,,,,,,
583.539496,129.522532,,,,,,
583.729773,129.522532,,,,,,
583.895453,129.523147,,,,,,
583.977698,129.523455,,,,,,
584.077673,129.525710,,,,,,
584.179846,129.526940,,,,,,
584.501929,129.529092,,,,,,
584.709845,129.530014,,,,,,
584.771552,129.531449,,,,,,
584.932806,129.531244,,,,,,
585.157874,129.531859,,,,,,
585.356848,129.532474,,,,,,
585.409247,129.534012,,,,,,
585.605444,129.535242,,,,,,
585.698676,129.536779,,,,,,
585.825232,129.538112,,,,,,
586.076849,129.538317,,,,,,
586.142126,129.539957,,,,,,
586.484717,129.539649,,,,,,
586.571692,129.541597,,,,,,
586.810370,129.542314,,,,,,
586.973639,129.543647,,,,,,
587.124915,129.545082,,,,,,
587.301031,129.546415,,,,,,
587.429663,129.547645,,,,,,
587.638525,129.548055,,,,,,
587.767981,129.548977,,,,,,
587.814520,129.551130,,,,,,
588.034094,129.551335,,,,,,
588.235815,129.553385,,,,,,
588.455237,129.554308,,,,,,
588.740210,129.556153,,,,,,
588.756140,129.556050,,,,,,
588.924994,129.558921,,,,,,
589.142584,129.558408,,,,,,
589.283942,129.558818,,,,,,
589.460730,129.561894,,,,,,
589.686224,129.563431,,,,,,
589.773016,129.563534,,,,,,
589.816473,129.565174,,,,,,
590.343085,129.565892,,,,,,
590.245215,129.566507,,,,,,
590.449805,129.566814,,,,,,
590.672064,129.568044,,,,,,
590.672064,129.569992,,,,,,
591.052313,129.569480,,,,,,
591.062079,129.572965,,,,,,
591.344489,129.574196,,,,,,
591.310858,129.574606,,,,,,
591.468878,129.576451,,,,,,
591.773260,129.575938,,,,,,
591.918066,129.578809,,,,,,
592.117529,129.578399,,,,,,
592.158698,129.579219,,,,,,
592.299872,129.581167,,,,,,
592.739081,129.582192,,,,,,
592.697546,129.582808,,,,,,
592.872198,129.583935,,,,,,
593.046912,129.585166,,,,,,
593.298468,129.586498,,,,,,
593.364386,129.586601,,,,,,
593.691107,129.588344,,,,,,
593.853735,129.590394,,,,,,
594.030127,129.590087,,,,,,
594.043860,129.593265,,,,,,
594.448218,129.593983,,,,,,
594.355444,129.594496,,,,,,
594.602881,129.595828,,,,,,
594.782263,129.596751,,,,,,
594.969611,129.597674,,,,,,
595.229773,129.598187,,,,,,
595.316382,129.600032,,,,,,
595.506354,129.602186,,,,,,
595.597296,129.602493,,,,,,
595.751868,129.603006,,,,,,
595.950995,129.604441,,,,,,
596.288733,129.605774,,,,,,
596.353705,129.608030,,,,,,
596.458258,129.609568,,,,,,
596.486578,129.609466,,,,,,
596.827338,129.610389,,,,,,
597.003424,129.611517,,,,,,
597.142432,129.612849,,,,,,
597.182623,129.613260,,,,,,
597.360846,129.614183,,,,,,
597.515295,129.616746,,,,,,
597.659125,129.617361,,,,,,
597.931433,129.620130,,,,,,
598.115698,129.621258,,,,,,
598.321265,129.621155,,,,,,
598.261298,129.622386,,,,,,
598.570441,129.622899,,,,,,
598.908636,129.626590,,,,,,
598.959784,129.625462,,,,,,
599.133063,129.627206,,,,,,
599.268469,129.628334,,,,,,
599.344244,129.628744,,,,,,
599.782813,129.630590,,,,,,
599.655005,129.632128,,,,,,
600.004065,129.631923,,,,,,
600.130927,129.634384,,,,,,
600.383459,129.635307,,,,,,
600.651740,129.636743,,,,,,
600.550452,129.637974,,,,,,
600.783484,129.638897,,,,,,
600.965369,129.640332,,,,,,
601.039832,129.639820,,,,,,
601.193152,129.641255,,,,,,
601.503607,129.643922,,,,,,
601.564398,129.645152,,,,,,
601.728613,129.645563,,,,,,
601.807928,129.646691,,,,,,
602.146002,129.646896,,,,,,
602.294348,129.647614,,,,,,
602.439612,129.649973,,,,,,
602.551428,129.651511,,,,,,
602.728339,129.653665,,,,,,
602.918494,129.652127,,,,,,
603.236609,129.654485,,,,,,
603.401617,129.654896,,,,,,
603.446906,129.656024,,,,,,
603.629095,129.658178,,,,,,
603.673468,129.659614,,,,,,
603.935248,129.660332,,,,,,
604.112921,129.662075,,,,,,
604.167883,129.661973,,,,,,
604.512213,129.662588,,,,,,
604.707465,129.664127,,,,,,
604.647650,129.663716,,,,,,
605.059637,129.666281,,,,,,
604.970374,129.667409,,,,,,
605.243842,129.668434,,,,,,
605.412604,129.670076,,,,,,
605.651740,129.670691,,,,,,
605.936957,129.671819,,,,,,
605.994025,129.674076,,,,,,
606.267371,129.674178,,,,,,
606.317450,129.674999,,,,,,
606.657477,129.675922,,,,,,
606.639899,129.678589,,,,,,
606.771246,129.679102,,,,,,
606.941687,129.680230,,,,,,
607.113013,129.680641,,,,,,
607.132727,129.682077,,,,,,
607.409888,129.683000,,,,,,
607.603949,129.684744,,,,,,
607.583319,129.685872,,,,,,
607.837103,129.686487,,,,,,
608.203253,129.688539,,,,,,
608.188727,129.688744,,,,,,
608.479346,129.690283,,,,,,
608.552679,129.692335,,,,,,
608.698767,129.693258,,,,,,
608.945074,129.694797,,,,,,
609.184149,129.695207,,,,,,
609.305670,129.696848,,,,,,
609.493475,129.696130,,,,,,
609.680365,129.697669,,,,,,
609.736090,129.699618,,,,,,
610.038336,129.700644,,,,,,
610.063788,129.700029,,,,,,
610.264563,129.703414,,,,,,
610.411108,129.704132,,,,,,
610.513739,129.705055,,,,,,
610.811377,129.706697,,,,,,
611.106848,129.707928,,,,,,
610.925818,129.710185,,,,,,
611.194617,129.710287,,,,,,
611.442206,129.710595,,,,,,
611.628943,129.712032,,,,,,
611.784155,129.712442,,,,,,
611.933997,129.714083,,,,,,
612.409888,129.716033,,,,,,
612.244727,129.716238,,,,,,
612.465552,129.717264,,,,,,
612.622839,129.718700,,,,,,
612.722693,129.721265,,,,,,
612.971930,129.721881,,,,,,
613.289435,129.721983,,,,,,
613.442755,129.723727,,,,,,
613.456366,129.725061,,,,,,
613.418250,129.726190,,,,,,
613.828589,129.727729,,,,,,
613.888129,129.728960,,,,,,
614.221289,129.729576,,,,,,
614.354834,129.730396,,,,,,
614.408667,129.731833,,,,,,
614.641974,129.732141,,,,,,
614.784674,129.734295,,,,,,
614.833258,129.735937,,,,,,
615.090125,129.736655,,,,,,
615.248175,129.737271,,,,,,
615.479590,129.739323,,,,,,
615.619147,129.739323,,,,,,
615.695319,129.741478,,,,,,
615.918860,129.742709,,,,,,
616.185248,129.743222,,,,,,
616.250464,129.744248,,,,,,
616.519812,129.744351,,,,,,
616.561804,129.744967,,,,,,
616.820288,129.747121,,,,,,
616.765631,129.747942,,,,,,
617.080511,129.749584,,,,,,
617.309973,129.750302,,,,,,
617.340155,129.751328,,,,,,
617.749731,129.752355,,,,,,
617.704779,129.753586,,,,,,
617.910620,129.754202,,,,,,
618.172858,129.756459,,,,,,
618.294775,129.758819,,,,,,
618.425421,129.758306,,,,,,
618.808569,129.760974,,,,,,
618.937079,129.761898,,,,,,
619.020941,129.762103,,,,,,
619.241156,129.762000,,,,,,
619.374762,129.763950,,,,,,
619.337317,129.766824,,,,,,
619.667883,129.766413,,,,,,
619.770117,129.767234,,,,,,
619.920264,129.768466,,,,,,
620.105444,129.769595,,,,,,
620.301062,129.771442,,,,,,
620.205481,129.773494,,,,,,
620.656500,129.774110,,,,,,
620.813208,129.776470,,,,,,
621.043219,129.775239,,,,,,
621.141455,129.777497,,,,,,
621.221320,129.778728,,,,,,
621.364478,129.779241,,,,,,
621.736304,129.780883,,,,,,
621.820044,129.782115,,,,,,
621.918280,129.783654,,,,,,
621.955328,129.784065,,,,,,
622.302649,129.784578,,,,,,
622.457495,129.786939,,,,,,
622.615027,129.787144,,,,,,
622.939978,129.789094,,,,,,
622.905951,129.789094,,,,,,
623.185095,129.791044,,,,,,
623.391333,129.792173,,,,,,
623.431403,129.792070,,,,,,
623.625891,129.793918,,,,,,
623.616278,129.793815,,,,,,
623.924506,129.795047,,,,,,
624.136420,129.797099,,,,,,
624.325171,129.797099,,,,,,
624.211401,129.799358,,,,,,
624.635107,129.799152,,,,,,
624.785895,129.799563,,,,,,
624.920111,129.802950,,,,,,
625.114478,129.802231,,,,,,
625.310950,129.803361,,,,,,
625.306128,129.806234,,,,,,
625.735693,129.807774,,,,,,
625.779333,129.808287,,,,,,
625.970587,129.810238,,,,,,
626.126959,129.811367,,,,,,
626.351660,129.812393,,,,,,
626.431342,129.812701,,,,,,
626.656531,129.813933,,,,,,
626.765387,129.814857,,,,,,
626.987891,129.817833,,,,,,
626.945227,129.818963,,,,,,
627.320959,129.817731,,,,,,
627.375403,129.819886,,,,,,
627.469489,129.821324,,,,,,
627.669653,129.821939,,,,,,
627.956061,129.823479,,,,,,
628.016180,129.825840,,,,,,
628.271613,129.826045,,,,,,
628.460028,129.827072,,,,,,
628.654089,129.826969,,,,,,
628.781134,129.827380,,,,,,
628.864722,129.829022,,,,,,
629.024786,129.829946,,,,,,
629.461554,129.831589,,,,,,
629.404150,129.831486,,,,,,
629.659460,129.832410,,,,,,
629.810797,129.834566,,,,,,
629.900885,129.835284,,,,,,
630.030005,129.837646,,,,,,
630.206580,129.838775,,,,,,
630.471381,129.839185,,,,,,
630.542212,129.840931,,,,,,
630.736151,129.841957,,,,,,
631.026129,129.842471,,,,,,
631.082220,129.843908,,,,,,
631.273413,129.844729,,,,,,
631.416876,129.845448,,,,,,
631.497290,129.847912,,,,,,
631.626349,129.848220,,,,,,
631.991827,129.849760,,,,,,
632.017920,129.851094,,,,,,
632.031409,129.851710,,,,,,
632.609229,129.853045,,,,,,
632.563635,129.854482,,,,,,
632.817389,129.854893,,,,,,
632.991919,129.857049,,,,,,
633.005438,129.859205,,,,,,
633.325110,129.858897,,,,,,
633.441473,129.860129,,,,,,
633.656439,129.861053,,,,,,
633.681647,129.862696,,,,,,
633.862738,129.863107,,,,,,
634.116675,129.864852,,,,,,
634.244391,129.866084,,,,,,
634.437140,129.867727,,,,,,
634.604712,129.869472,,,,,,
634.763525,129.870191,,,,,,
634.869055,129.870397,,,,,,
635.224463,129.871218,,,,,,
635.293066,129.871937,,,,,,
635.518713,129.873477,,,,,,
635.537848,129.874812,,,,,,
635.780859,129.874401,,,,,,
635.867133,129.877276,,,,,,
636.354224,129.878303,,,,,,
636.189459,129.880254,,,,,,
636.429419,129.880870,,,,,,
636.614233,129.882205,,,,,,
636.714789,129.883950,,,,,,
636.918738,129.883950,,,,,,
637.168463,129.886004,,,,,,
637.280768,129.887544,,,,,,
637.582556,129.888058,,,,,,
637.444250,129.887236,,,,,,
637.885229,129.889906,,,,,,
637.852271,129.891241,,,,,,
638.173499,129.892370,,,,,,
638.261481,129.892781,,,,,,
638.542792,129.893295,,,,,,
638.635596,129.894835,,,,,,
638.759467,129.897197,,,,,,
639.088019,129.898737,,,,,,
639.053290,129.898737,,,,,,
639.317206,129.900997,,,,,,
639.478461,129.901202,,,,,,
639.666052,129.901715,,,,,,
639.653479,129.903256,,,,,,
639.820685,129.904180,,,,,,
640.087500,129.905515,,,,,,
640.218787,129.906850,,,,,,
640.490302,129.908801,,,,,,
640.691290,129.908801,,,,,,
640.792670,129.910547,,,,,,
640.913489,129.910855,,,,,,
641.027380,129.911882,,,,,,
641.204077,129.913012,,,,,,
641.512305,129.915271,,,,,,
641.633063,129.914655,,,,,,
641.792395,129.917223,,,,,,
641.859015,129.917223,,,,,,
642.183325,129.919277,,,,,,
642.269385,129.921228,,,,,,
642.394934,129.921228,,,,,,
642.624701,129.923282,,,,,,
642.709570,129.922871,,,,,,
642.872717,129.924309,,,,,,
643.052252,129.925644,,,,,,
643.294562,129.926466,,,,,,
643.591772,129.926877,,,,,,
643.566687,129.929034,,,,,,
643.708563,129.930471,,,,,,
643.906287,129.934066,,,,,,
644.081000,129.932526,,,,,,
644.309760,129.933655,,,,,,
644.423529,129.935196,,,,,,
644.695532,129.937250,,,,,,
644.823950,129.937867,,,,,,
644.945471,129.940024,,,,,,
645.165167,129.940229,,,,,,
645.377417,129.940537,,,,,,
645.426672,129.942489,,,,,,
645.676520,129.943002,,,,,,
645.783362,129.944748,,,,,,
645.912573,129.945673,,,,,,
646.046576,129.947419,,,,,,
646.258795,129.948857,,,,,,
646.447668,129.949063,,,,,,
646.527594,129.951117,,,,,,
646.842993,129.950809,,,,,,
646.852515,129.952041,,,,,,
647.161932,129.954404,,,,,,
647.291022,129.955123,,,,,,
647.441382,129.957280,,,,,,
647.610815,129.956253,,,,,,
647.666907,129.957486,,,,,,
647.894141,129.959026,,,,,,
648.139899,129.960978,,,,,,
648.142859,129.961697,,,,,,
648.528082,129.963649,,,,,,
648.718909,129.963341,,,,,,
648.828650,129.965395,,,,,,
648.778540,129.964984,,,,,,
649.110938,129.967244,,,,,,
649.314215,129.968785,,,,,,
649.520209,129.968683,,,,,,
649.603094,129.970429,,,,,,
649.817664,129.972278,,,,,,
649.872473,129.972586,,,,,,
650.079626,129.974333,,,,,,
650.354926,129.975976,,,,,,
650.381781,129.977312,,,,,,
650.677313,129.978134,,,,,,
650.842078,129.978236,,,,,,
651.086340,129.979572,,,,,,
651.144110,129.980291,,,,,,
651.305884,129.981935,,,,,,
651.390479,129.983784,,,,,,
651.536749,129.982449,,,,,,
651.808020,129.985633,,,,,,
651.940863,129.986866,,,,,,
652.106421,129.986969,,,,,,
652.177588,129.988407,,,,,,
652.444983,129.990668,,,,,,
652.699805,129.991695,,,,,,
652.869238,129.992928,,,,,,
652.885596,129.993750,,,,,,
653.193396,129.994161,,,,,,
653.308569,129.996010,,,,,,
653.464240,129.996832,,,,,,
653.550848,129.997962,,,,,,
653.766333,129.998784,,,,,,
654.024908,130.000634,,,,,,
654.079718,130.001969,,,,,,
654.278784,130.004538,,,,,,
654.582526,130.004949,,,,,,
