Aged 3rd H,,,,,
T (K),V (mm3),,,,
573.115515,129.647432,,,,
573.212286,129.647534,,,,
573.250128,129.648148,,,,
573.289069,129.649172,,,,
573.625067,129.651219,,,,
573.782629,129.651628,,,,
573.983984,129.653471,,,,
573.960059,129.654904,,,,
574.192297,129.656439,,,,
574.550085,129.657872,,,,
574.688574,129.658384,,,,
574.908759,129.660738,,,,
574.942603,129.660636,,,,
575.119971,129.660943,,,,
575.250464,129.662172,,,,
575.395911,129.663912,,,,
575.651831,129.665345,,,,
575.840063,129.666675,,,,
576.029181,129.668109,,,,
576.103918,129.669235,,,,
576.461279,129.670361,,,,
576.397589,129.671999,,,,
576.568762,129.673125,,,,
576.621558,129.673125,,,,
576.953955,129.675274,,,,
577.133002,129.675172,,,,
577.324103,129.676810,,,,
577.517065,129.678038,,,,
577.617560,129.678755,,,,
577.786658,129.679676,,,,
578.001471,129.680802,,,,
578.065131,129.682031,,,,
578.341559,129.683874,,,,
578.474799,129.684693,,,,
578.823706,129.685512,,,,
578.793921,129.687354,,,,
579.054297,129.687457,,,,
579.005652,129.688685,,,,
579.254095,129.690426,,,,
579.427039,129.691859,,,,
579.445929,129.692473,,,,
579.815527,129.693804,,,,
579.940741,129.696364,,,,
579.921820,129.696671,,,,
580.428412,129.697490,,,,
580.442297,129.697899,,,,
580.756995,129.698821,,,,
580.748206,129.700459,,,,
581.059973,129.701176,,,,
581.075842,129.701892,,,,
581.212836,129.702916,,,,
581.413306,129.704657,,,,
581.546332,129.706090,,,,
581.726965,129.707728,,,,
581.911505,129.707728,,,,
582.140784,129.709162,,,,
582.256873,129.710083,,,,
582.348120,129.712131,,,,
582.589209,129.712233,,,,
582.798499,129.713155,,,,
582.937384,129.714998,,,,
583.079199,129.715100,,,,
583.197150,129.716739,,,,
583.321173,129.717762,,,,
583.613654,129.719298,,,,
583.770270,129.720629,,,,
583.813879,129.720527,,,,
584.035864,129.722472,,,,
584.094427,129.722882,,,,
584.457098,129.724623,,,,
584.660254,129.725852,,,,
584.740485,129.726978,,,,
584.986212,129.727285,,,,
584.972327,129.728821,,,,
585.221960,129.729128,,,,
585.441901,129.732098,,,,
585.556769,129.731995,,,,
585.814215,129.732917,,,,
586.044897,129.734044,,,,
586.053839,129.734658,,,,
586.310248,129.734760,,,,
586.517126,129.736603,,,,
586.530005,129.737832,,,,
586.838843,129.737730,,,,
587.010016,129.740495,,,,
586.940741,129.739676,,,,
587.358313,129.742133,,,,
587.498816,129.743874,,,,
587.712469,129.745410,,,,
587.958838,129.745922,,,,
588.073553,129.747049,,,,
588.159613,129.749097,,,,
588.241705,129.749404,,,,
588.531409,129.750223,,,,
588.787451,129.750940,,,,
