Temperature,Cr-Cr,Cr-Co,Cr-Ni,Co-Co,Co-Ni,Ni-Ni
3.000000000000000000e+02,3.891172854352433208e-01,-2.702950850156318197e-01,-1.191141113614235802e-01,-5.619052925271827981e-02,3.266883862751133738e-01,-2.074849169906881063e-01
4.000000000000000000e+02,3.747785028025717446e-01,-2.411086279815830569e-01,-1.339510289866320258e-01,-1.241551948377195638e-02,2.537050241555137697e-01,-1.196535067750433556e-01
5.000000000000000000e+02,3.485547331281886874e-01,-2.160273951546357873e-01,-1.327888193937540040e-01,1.429783552414732629e-02,2.018916206921197443e-01,-6.900318477969079323e-02
6.000000000000000000e+02,3.035716025045948618e-01,-1.831059339047656220e-01,-1.206934042356166553e-01,1.557347326328953341e-02,1.676698244328523879e-01,-4.688587750838685980e-02
7.000000000000000000e+02,2.618102492981395635e-01,-1.537788870006107922e-01,-1.082277690861996183e-01,1.141827092181893141e-02,1.424759790847936469e-01,-3.416701887399834631e-02
8.000000000000000000e+02,2.233455985650353026e-01,-1.293068769441236276e-01,-9.420627270760724425e-02,7.882128071402658490e-03,1.215217532815311419e-01,-2.724480820130016287e-02
9.000000000000000000e+02,1.975432823318475639e-01,-1.096102361422439941e-01,-8.808124069998013450e-02,6.128688961437395383e-04,1.090795954802653844e-01,-2.093227733039790261e-02
1.000000000000000000e+03,1.739418896249027846e-01,-9.563560305368698500e-02,-7.843677561069428705e-02,-1.009817345559244073e-03,9.671716503769603457e-02,-1.822154713472070447e-02
1.100000000000000000e+03,1.517734386180223383e-01,-7.970677077065370375e-02,-7.218052639096808609e-02,-3.814344433820421321e-03,8.358091023130874431e-02,-1.134623490831451753e-02
1.200000000000000000e+03,1.323959459550584916e-01,-6.838928622710400973e-02,-6.410598151786824073e-02,-8.354114034885343903e-03,7.679470505285733439e-02,-1.264063202597352255e-02
1.300000000000000000e+03,1.166335872543488861e-01,-5.613922221184983880e-02,-6.058186210720598736e-02,-1.397254790066612684e-02,7.015388505791111950e-02,-9.526575192185174693e-03
1.400000000000000000e+03,1.036059931053963795e-01,-4.489203260335324075e-02,-5.879168442785363824e-02,-1.886874569355020959e-02,6.379445574071684888e-02,-4.958666523345048316e-03
1.500000000000000000e+03,9.768691366460699466e-02,-4.195839064713707128e-02,-5.580180652359494065e-02,-1.761186733292479170e-02,5.960173464221268924e-02,-3.758066298270043657e-03
1.600000000000000000e+03,8.763759050010230811e-02,-3.830305402437568507e-02,-4.940028110475896267e-02,-1.733985634443124119e-02,5.567164484294363780e-02,-6.234304262487258899e-03
1.700000000000000000e+03,8.114720750569248686e-02,-3.317621009450265335e-02,-4.803187303572522410e-02,-1.809961117436151984e-02,5.130070964852989635e-02,-3.232803699799704968e-03
1.800000000000000000e+03,7.316768901905874867e-02,-2.699962846783662829e-02,-4.622295004035868043e-02,-1.731171727665603566e-02,4.433160052953973029e-02,1.926025392319533026e-03
1.900000000000000000e+03,6.412048848139649537e-02,-2.052312178494401784e-02,-4.364546908841156203e-02,-2.319278244167196495e-02,4.373130041700220433e-02,-5.308904120255308754e-05
