alpha,Cr-Cr,Co-Cr,Cr-Ni,Co-Co,Co-Ni,Ni-Ni
1.135612210185115822e+00,2.539924759682091082e+00,2.519237555594609379e+00,2.542108414504007818e+00,2.526581844517911790e+00,2.536904874316842751e+00,2.535750711762864373e+00
9.825635886725363477e-01,2.540998110701504498e+00,2.520437838821063092e+00,2.542541977562933653e+00,2.526271821994728661e+00,2.537411522343854031e+00,2.536451334850115202e+00
8.375001158495060105e-01,2.543677389377656972e+00,2.520766803874142870e+00,2.543029769321933919e+00,2.527613734405189216e+00,2.538513899153376663e+00,2.536797098269016448e+00
7.118781742655607703e-01,2.544686375177091175e+00,2.522486708912917486e+00,2.543094038843971116e+00,2.527909465424609703e+00,2.538667284720290240e+00,2.537573996749548755e+00
6.035074377710001325e-01,2.546900137736960001e+00,2.522345622567737422e+00,2.544373340077453083e+00,2.531689016841267126e+00,2.539836101722731332e+00,2.537979523736392462e+00
5.258595008808787385e-01,2.546501920512710182e+00,2.522402562952566818e+00,2.545361249632651646e+00,2.530293147293159350e+00,2.540409847510236130e+00,2.537346455564770231e+00
4.639627978072600190e-01,2.547336672555635229e+00,2.522902953123471903e+00,2.544011464646386500e+00,2.529799736845736557e+00,2.541524809890742809e+00,2.539127296053137695e+00
4.024022253530878945e-01,2.548022625631046090e+00,2.524259842815825383e+00,2.545119718103615813e+00,2.531150523991973600e+00,2.542143700629891701e+00,2.541218582493289802e+00
3.626806648137469447e-01,2.549049137615862382e+00,2.525432933156732229e+00,2.545305574869198395e+00,2.530316131289815029e+00,2.544048694315871995e+00,2.538838594753622502e+00
3.270076797241671662e-01,2.548702726626072224e+00,2.524305538209573818e+00,2.547063687252624220e+00,2.532811481930047570e+00,2.543611967198590840e+00,2.539751926747164212e+00
2.949115780942153653e-01,2.549093665942342657e+00,2.524687409635353763e+00,2.545610023037911063e+00,2.531545806188112202e+00,2.543124396148103816e+00,2.539297241609061562e+00
2.764187791087465151e-01,2.549194835541639392e+00,2.526309443203407668e+00,2.546025089099741123e+00,2.531970065507623602e+00,2.543497577820247102e+00,2.541425402770753905e+00
2.545867310790991267e-01,2.549360576615617546e+00,2.524883592857479542e+00,2.546332852531990376e+00,2.530957945274094012e+00,2.542965807179313309e+00,2.539446849194263667e+00
