alpha,Cr-Cr,Co-Cr,Cr-Ni,Co-Co,Co-Ni,Ni-Ni
1.135612210185115822e+00,3.770744233367246886e-03,1.210857127443887770e-03,1.574851512953583631e-03,2.236042382259094321e-03,1.512248626094259227e-03,2.107405495519045630e-03
9.825635886725363477e-01,3.707072557549870046e-03,1.905230611914821275e-03,1.059485821489522224e-03,1.138438657467742872e-03,2.230707587345883477e-03,2.587456050481152375e-03
8.375001158495060105e-01,3.174625549477533715e-03,1.534558750459361206e-03,2.174627660685448782e-03,3.107714398409410200e-03,2.780539232996649159e-03,2.411608621178615471e-03
7.118781742655607703e-01,4.385370142230000760e-03,1.009580736562446825e-03,1.619285545386612213e-03,2.562200896610626177e-03,1.496683388601929669e-03,2.292926178096988798e-03
6.035074377710001325e-01,2.881967934350773003e-03,1.567752039745399194e-03,2.267529583907221952e-03,2.112133188609830424e-03,1.337182258149920188e-03,3.132718109389792845e-03
5.258595008808787385e-01,2.802222142924699899e-03,1.179949125519012950e-03,9.723677737793931216e-04,2.236264343410248115e-03,2.580445511269984036e-03,1.992920439780014076e-03
4.639627978072600190e-01,2.265498486732410357e-03,1.378242640728457495e-03,1.573080652916589639e-03,2.579447338339857336e-03,1.571334779709780433e-03,1.048005788752011478e-03
4.024022253530878945e-01,3.214477169799911851e-03,2.066719765239420289e-03,2.100063396788800704e-03,1.987302618802418847e-03,1.869050628938670380e-03,2.052453071492338615e-03
3.626806648137469447e-01,2.696777495353179076e-03,1.547933542007334014e-03,1.696607133936986651e-03,2.793988349469445857e-03,1.411229171386798372e-03,2.059011629778281956e-03
3.270076797241671662e-01,4.257195473422132302e-03,1.181244731604601250e-03,1.708085644263209650e-03,2.218647920527438804e-03,2.446832955176782634e-03,2.618904856296530668e-03
2.949115780942153653e-01,3.412929140492098733e-03,1.863067439179528833e-03,1.303508766070176792e-03,3.388816224400055619e-03,2.272488821546097670e-03,1.756584212103585617e-03
2.764187791087465151e-01,2.704476560149242457e-03,1.307042002456316847e-03,1.252363045326469835e-03,2.126193417031038788e-03,1.789127788303106334e-03,3.141972600590097874e-03
2.545867310790991267e-01,1.674445426722754454e-03,1.630528127508190867e-03,1.950433695559330299e-03,1.912601325759614480e-03,2.295129942392727142e-03,2.058840650617358749e-03
